County,Population,FIPS Code,State
Albany,307117,36001,NY
Allegany,46430,36003,NY
Bronx,1432132,36005,NY
Broome,191659,36007,NY
Cattaraugus,76840,36009,NY
Cayuga,77145,36011,NY
Chautauqua,127939,36013,NY
Chemung,84254,36015,NY
Chenango,47536,36017,NY
Clinton,80695,36019,NY
Columbia,59916,36021,NY
Cortland,47823,36023,NY
Delaware,44527,36025,NY
Dutchess,293718,36027,NY
Erie,919719,36029,NY
Essex,37300,36031,NY
Franklin,50293,36033,NY
Fulton,53591,36035,NY
Genesee,57511,36037,NY
Greene,47491,36039,NY
Hamilton,4434,36041,NY
Herkimer,61833,36043,NY
Jefferson,111755,36045,NY
Kings,2582830,36047,NY
Lewis,26447,36049,NY
Livingston,63227,36051,NY
Madison,70795,36053,NY
Monroe,742474,36055,NY
Montgomery,49455,36057,NY
Nassau,1358343,36059,NY
New York,1628701,36061,NY
Niagara,210433,36063,NY
Oneida,229577,36065,NY
Onondaga,461809,36067,NY
Ontario,109864,36069,NY
Orange,381951,36071,NY
Orleans,40612,36073,NY
Oswego,117898,36075,NY
Otsego,59749,36077,NY
Putnam,98892,36079,NY
Queens,2278906,36081,NY
Rensselaer,159442,36083,NY
Richmond,476179,36085,NY
Rockland,325695,36087,NY
Saratoga,230163,36089,NY
Schenectady,155350,36091,NY
Schoharie,31097,36093,NY
Schuyler,17912,36095,NY
Seneca,34300,36097,NY
Steuben,95796,36101,NY
St. Lawrence,108047,36099,NY
Suffolk,1481093,36103,NY
Sullivan,75498,36105,NY
Tioga,48560,36107,NY
Tompkins,102793,36109,NY
Ulster,178599,36111,NY
Warren,64265,36113,NY
Washington,61197,36115,NY
Wayne,90064,36117,NY
Westchester,967612,36119,NY
Wyoming,40085,36121,NY
Yates,24841,36123,NY
