time,with feedback,without feedback
0,5,8
0.05,5,7
0.1,4,6
0.15,4,6
0.2,5,6
0.25,5,6
0.3,4,9
0.35,4,7
0.4,5,8
0.45,4,8
0.5,4,5
0.55,5,6
0.6,4,7
0.65,4,5
0.7,5,8
0.75,4,5
0.8,4,8
0.85,6,7
0.9,5,6
0.95,4,7
1,4,8
1.05,5,6
1.1,5,8
1.15,5,7
1.2,4,5
1.25,5,6
1.3,4,6
1.35,5,7
1.4,5,7
1.45,4,7
1.5,5,7
1.55,6,6
1.6,5,7
1.65,6,7
1.7,4,7
1.75,5,6
1.8,5,7
1.85,4,7
1.9,4,6
1.95,4,7
2,5,6
2.05,4,7
2.1,5,7
2.15,4,7
2.2,5,6
2.25,5,7
2.3,5,7
2.35,6,4
2.4,5,5
2.45,5,2
2.5,5,1
2.55,5,-1
2.6,6,-4
2.65,5,-11
2.7,4,-13
2.75,5,-20
2.8,5,-26
2.85,3,-31
2.9,4,-37
2.95,4,-43
3,5,-50
3.05,5,-55
3.1,3,-61
3.15,5,-66
3.2,4,-72
3.25,3,-78
3.3,5,-81
3.35,4,-86
3.4,4,-91
3.45,2,-93
3.5,5,-98
3.55,4,-101
3.6,5,-104
3.65,5,-107
3.7,4,-114
3.75,5,-112
3.8,4,-117
3.85,3,-122
3.9,4,-126
3.95,3,-129
4,4,-129
4.05,3,-134
4.1,3,-137
4.15,2,-139
4.2,0,-139
4.25,1,-145
4.3,-1,-144
4.35,-4,-147
4.4,-7,-152
4.45,-10,-152
4.5,-15,-150
4.55,-19,-156
4.6,-24,-154
4.65,-29,-157
4.7,-34,-161
4.75,-42,-158
4.8,-48,-160
4.85,-53,-163
4.9,-59,-162
4.95,-65,-164
5,-67,-163
5.05,-75,-167
5.1,-80,-165
5.15,-85,-167
5.2,-91,-167
5.25,-97,-166
5.3,-102,-167
5.35,-108,-166
5.4,-114,-165
5.45,-119,-168
5.5,-126,-165
5.55,-131,-167
5.6,-133,-164
5.65,-139,-164
5.7,-143,-169
5.75,-150,-164
5.8,-152,-166
5.85,-157,-164
5.9,-158,-166
5.95,-160,-165
6,-165,-164
6.05,-166,-170
6.1,-166,-144
6.15,-169,-115
6.2,-167,-115
6.25,-170,-43
6.3,-171,-55
6.35,-167,5
6.4,-170,91
6.45,-170,94
6.5,-170,116
6.55,-170,137
6.6,-169,146
6.65,-171,165
6.7,-171,177
6.75,-170,168
6.8,-170,144
6.85,-167,118
6.9,-164,84
6.95,-107,65
7,-115,55
7.05,-79,62
7.1,-45,-74
7.15,-21,-34
7.2,11,-106
7.25,84,-115
7.3,91,-120
7.35,115,-140
7.4,126,-126
7.45,143,-99
7.5,161,-101
7.55,159,-71
7.6,138,-44
7.65,108,-16
7.7,76,21
7.75,54,62
7.8,52,81
7.85,-21,105
7.9,-66,125
7.95,-77,123
8,-117,139
8.05,-135,141
8.1,-148,130
8.15,-168,114
8.2,-155,100
8.25,-139,59
8.3,-130,48
8.35,-103,14
8.4,-83,-96
8.45,-31,-39
8.5,3,-65
8.55,31,-87
8.6,72,-96
8.65,106,-110
8.7,120,-120
8.75,133,-97
8.8,140,-100
8.85,145,-70
8.9,143,-56
8.95,127,-8
9,113,-15
9.05,82,-1
9.1,47,15
9.15,21,23
9.2,4,25
9.25,-55,27
9.3,-79,18
9.35,-94,1
9.4,-130,6
9.45,-144,0
9.5,-147,-8
9.55,-153,-10
9.6,-148,-15
9.65,-132,-26
9.7,-129,-24
9.75,-99,-31
9.8,-70,-34
9.85,-46,-40
9.9,-7,-37
9.95,22,-40
10,59,-46
10.05,92,-50
10.1,112,-55
10.15,126,-65
10.2,136,-69
10.25,140,-73
10.3,140,-83
10.35,131,-88
10.4,117,-94
10.45,91,-104
10.5,59,-107
10.55,25,-114
10.6,4,-120
10.65,-43,-123
10.7,-84,-130
10.75,-100,-132
10.8,-126,-135
10.85,-143,-141
10.9,-142,-143
10.95,-153,-146
11,-140,-149
11.05,-127,-149
11.1,-107,-149
11.15,-72,-150
11.2,-52,-151
11.25,-9,-152
11.3,27,-153
11.35,61,-151
11.4,88,-152
11.45,112,-153
11.5,126,-153
11.55,134,-156
11.6,138,-158
11.65,136,-160
11.7,127,-159
11.75,110,-163
11.8,78,-164
11.85,47,-168
11.9,17,-163
11.95,-1,-165
12,-64,-167
12.05,-80,-161
12.1,-104,-164
12.15,-130,-164
12.2,-137,-162
12.25,-144,-165
12.3,-148,-162
12.35,-130,-163
12.4,-123,-164
12.45,-93,-162
12.5,-63,-166
12.55,-40,-161
12.6,5,-164
12.65,37,-162
12.7,65,-164
12.75,96,-162
12.8,114,-163
12.85,127,-162
12.9,132,-170
12.95,134,-137
13,130,-126
13.05,119,-114
13.1,97,-38
13.15,67,-36
13.2,38,8
13.25,13,97
13.3,-27,106
13.35,-69,106
13.4,-84,132
13.45,-111,146
13.5,-134,161
13.55,-136,175
13.6,-145,164
13.65,-138,147
13.7,-124,115
13.75,-116,80
13.8,-81,61
13.85,-59,64
13.9,-23,-26
13.95,9,-57
14,46,-75
14.05,71,-115
14.1,100,-126
14.15,115,-138
14.2,126,-164
14.25,131,-137
14.3,130,-134
14.35,125,-118
14.4,108,-84
14.45,84,-73
14.5,57,-16
14.55,25,18
14.6,0,36
14.65,-43,85
14.7,-72,115
14.75,-91,131
14.8,-122,145
14.85,-131,157
14.9,-134,157
14.95,-141,156
15,-128,143
15.05,-120,122
15.1,-98,88
15.15,-67,54
15.2,-41,23
15.25,-3,4
15.3,24,-61
15.35,57,-72
15.4,91,-110
15.45,105,-132
15.5,119,-134
15.55,127,-146
15.6,129,-144
15.65,125,-126
15.7,115,-122
15.75,97,-85
15.8,70,-58
15.85,40,-28
15.9,14,20
15.95,-15,51
16,-58,85
16.05,-79,116
16.1,-103,131
16.15,-123,143
16.2,-128,153
16.25,-136,154
16.3,-134,150
16.35,-121,138
16.4,-112,117
16.45,-83,85
16.5,-61,51
16.55,-30,18
16.6,7,-5
16.65,35,-63
16.7,65,-81
16.75,89,-107
16.8,106,-129
16.85,119,-133
16.9,125,-140
16.95,125,-141
17,119,-121
17.05,107,-112
17.1,87,-75
17.15,59,-49
17.2,29,-11
17.25,5,26
17.3,-35,60
17.35,-63,91
17.4,-87,118
17.45,-112,131
17.5,-124,141
17.55,-129,151
17.6,-134,152
17.65,-124,144
17.7,-117,128
17.75,-97,105
17.8,-66,69
17.85,-44,38
17.9,-11,22
17.95,18,-25
18,53,-69
18.05,77,-85
18.1,99,-114
18.15,112,-128
18.2,120,-132
18.25,123,-143
18.3,120,-127
18.35,110,-115
18.4,94,-95
18.45,68,-61
18.5,42,-42
18.55,15,7
18.6,-16,38
18.65,-57,64
18.7,-73,102
18.75,-99,120
18.8,-118,130
18.85,-126,143
18.9,-131,147
18.95,-130,146
19,-120,137
19.05,-112,121
19.1,-90,91
19.15,-67,59
19.2,-48,31
19.25,-14,9
19.3,13,-49
19.35,44,-68
19.4,69,-92
19.45,90,-120
19.5,105,-127
19.55,117,-134
19.6,119,-136
19.65,119,-120
19.7,111,-114
19.75,96,-81
19.8,74,-54
19.85,48,-27
19.9,20,13
19.95,-5,42
20,-44,76
20.05,-65,107
20.1,-91,124
20.15,-113,133
20.2,-120,141
20.25,-128,144
20.3,-126,139
20.35,-115,129
20.4,-105,113
20.45,-79,82
20.5,-57,55
20.55,-26,23
20.6,2,-2
20.65,35,-52
20.7,64,-69
20.75,86,-95
20.8,100,-121
20.85,113,-126
20.9,116,-131
20.95,116,-130
21,108,-115
21.05,97,-109
21.1,77,-72
21.15,50,-50
21.2,26,-17
21.25,1,18
21.3,-42,47
21.35,-61,84
21.4,-84,111
21.45,-105,125
21.5,-116,131
21.55,-125,140
21.6,-124,141
21.65,-113,135
21.7,-107,123
21.75,-82,104
21.8,-60,75
21.85,-32,48
21.9,-2,23
21.95,23,-15
22,56,-57
22.05,77,-72
22.1,95,-99
22.15,108,-118
22.2,115,-125
22.25,115,-130
22.3,108,-123
22.35,97,-111
22.4,80,-101
22.45,58,-68
22.5,29,-48
22.55,7,-7
22.6,-27,23
22.65,-54,55
22.7,-73,86
22.75,-99,108
22.8,-111,123
22.85,-120,134
22.9,-124,136
22.95,-114,135
23,-108,131
23.05,-89,121
23.1,-67,96
23.15,-46,67
23.2,-12,42
23.25,13,18
23.3,41,-19
23.35,66,-57
23.4,87,-76
23.45,98,-102
23.5,109,-116
