time,year,month,avgt
1951-02-01,1951,2,27.02
1952-02-01,1952,2,27.03
1953-02-01,1953,2,28.84
1954-02-01,1954,2,31.34
1955-02-01,1955,2,24.41
1956-02-01,1956,2,26.05
1957-02-01,1957,2,28.8
1958-02-01,1958,2,18.82
1959-02-01,1959,2,20.2
1960-02-01,1960,2,27.97
1961-02-01,1961,2,25.5
1962-02-01,1962,2,20.48
1963-02-01,1963,2,17.2
1964-02-01,1964,2,22.26
1965-02-01,1965,2,22.25
1966-02-01,1966,2,23.25
1967-02-01,1967,2,18.0
1968-02-01,1968,2,21.07
1969-02-01,1969,2,24.64
1970-02-01,1970,2,23.02
1971-02-01,1971,2,25.34
1972-02-01,1972,2,21.03
1973-02-01,1973,2,21.96
1974-02-01,1974,2,21.25
1975-02-01,1975,2,24.84
1976-02-01,1976,2,31.47
1977-02-01,1977,2,24.48
1978-02-01,1978,2,18.2
1979-02-01,1979,2,14.41
1980-02-01,1980,2,19.84
