time,year,month,avgt
1951-03-01,1951,3,35.26
1952-03-01,1952,3,32.47
1953-03-01,1953,3,36.69
1954-03-01,1954,3,34.37
1955-03-01,1955,3,33.08
1956-03-01,1956,3,27.85
1957-03-01,1957,3,35.5
1958-03-01,1958,3,35.94
1959-03-01,1959,3,32.15
1960-03-01,1960,3,26.52
1961-03-01,1961,3,32.98
1962-03-01,1962,3,34.66
1963-03-01,1963,3,33.55
1964-03-01,1964,3,34.82
1965-03-01,1965,3,31.11
1966-03-01,1966,3,34.26
1967-03-01,1967,3,28.94
1968-03-01,1968,3,37.06
1969-03-01,1969,3,31.06
1970-03-01,1970,3,31.98
1971-03-01,1971,3,30.63
1972-03-01,1972,3,30.52
1973-03-01,1973,3,41.9
1974-03-01,1974,3,32.35
1975-03-01,1975,3,30.81
1976-03-01,1976,3,36.68
1977-03-01,1977,3,40.02
1978-03-01,1978,3,30.73
1979-03-01,1979,3,38.85
1980-03-01,1980,3,33.31
