time,year,month,avgt
1951-05-01,1951,5,58.71
1952-05-01,1952,5,54.39
1953-05-01,1953,5,60.03
1954-05-01,1954,5,55.27
1955-05-01,1955,5,61.18
1956-05-01,1956,5,53.48
1957-05-01,1957,5,56.95
1958-05-01,1958,5,54.39
1959-05-01,1959,5,60.68
1960-05-01,1960,5,60.34
1961-05-01,1961,5,55.4
1962-05-01,1962,5,59.79
1963-05-01,1963,5,56.58
1964-05-01,1964,5,61.63
1965-05-01,1965,5,59.53
1966-05-01,1966,5,53.85
1967-05-01,1967,5,50.37
1968-05-01,1968,5,54.94
1969-05-01,1969,5,56.29
1970-05-01,1970,5,60.52
1971-05-01,1971,5,54.89
1972-05-01,1972,5,59.5
1973-05-01,1973,5,55.31
1974-05-01,1974,5,54.05
1975-05-01,1975,5,61.84
1976-05-01,1976,5,54.94
1977-05-01,1977,5,60.18
1978-05-01,1978,5,58.34
1979-05-01,1979,5,59.97
1980-05-01,1980,5,59.5
