time,year,month,avgt
1951-09-01,1951,9,60.15
1952-09-01,1952,9,62.02
1953-09-01,1953,9,62.13
1954-09-01,1954,9,60.42
1955-09-01,1955,9,60.02
1956-09-01,1956,9,57.63
1957-09-01,1957,9,62.25
1958-09-01,1958,9,61.45
1959-09-01,1959,9,65.6
1960-09-01,1960,9,62.78
1961-09-01,1961,9,68.83
1962-09-01,1962,9,58.73
1963-09-01,1963,9,56.8
1964-09-01,1964,9,61.0
1965-09-01,1965,9,63.53
1966-09-01,1966,9,57.97
1967-09-01,1967,9,61.3
1968-09-01,1968,9,63.73
1969-09-01,1969,9,62.35
1970-09-01,1970,9,63.3
1971-09-01,1971,9,64.73
1972-09-01,1972,9,60.7
1973-09-01,1973,9,60.43
1974-09-01,1974,9,58.28
1975-09-01,1975,9,59.35
1976-09-01,1976,9,58.95
1977-09-01,1977,9,61.32
1978-09-01,1978,9,56.82
1979-09-01,1979,9,61.18
1980-09-01,1980,9,62.52
