time,year,month,avgt
1991-04-01,1991,4,51.13
1992-04-01,1992,4,44.65
1993-04-01,1993,4,48.4
1994-04-01,1994,4,48.13
1995-04-01,1995,4,43.92
1996-04-01,1996,4,46.17
1997-04-01,1997,4,44.2
1998-04-01,1998,4,48.75
1999-04-01,1999,4,46.58
2000-04-01,2000,4,45.25
2001-04-01,2001,4,47.4
2002-04-01,2002,4,48.87
2003-04-01,2003,4,44.48
2004-04-01,2004,4,49.1
2005-04-01,2005,4,50.15
2006-04-01,2006,4,49.52
2007-04-01,2007,4,44.3
2008-04-01,2008,4,51.88
2009-04-01,2009,4,49.55
2010-04-01,2010,4,51.87
2011-04-01,2011,4,48.72
2012-04-01,2012,4,48.08
2013-04-01,2013,4,45.9
2014-04-01,2014,4,47.38
2015-04-01,2015,4,47.78
2016-04-01,2016,4,45.95
2017-04-01,2017,4,53.02
2018-04-01,2018,4,41.1
2019-04-01,2019,4,49.78
2020-04-01,2020,4,46.63
