time,year,month,avgt
1991-08-01,1991,8,71.18
1992-08-01,1992,8,67.44
1993-08-01,1993,8,71.65
1994-08-01,1994,8,67.03
1995-08-01,1995,8,70.84
1996-08-01,1996,8,70.08
1997-08-01,1997,8,68.55
1998-08-01,1998,8,71.08
1999-08-01,1999,8,69.19
2000-08-01,2000,8,68.5
2001-08-01,2001,8,73.74
2002-08-01,2002,8,72.9
2003-08-01,2003,8,72.74
2004-08-01,2004,8,69.29
2005-08-01,2005,8,73.76
2006-08-01,2006,8,69.77
2007-08-01,2007,8,70.74
2008-08-01,2008,8,68.45
2009-08-01,2009,8,71.02
2010-08-01,2010,8,72.0
2011-08-01,2011,8,70.81
2012-08-01,2012,8,72.23
2013-08-01,2013,8,69.65
2014-08-01,2014,8,69.26
2015-08-01,2015,8,73.08
2016-08-01,2016,8,73.89
2017-08-01,2017,8,69.24
2018-08-01,2018,8,75.13
2019-08-01,2019,8,71.69
2020-08-01,2020,8,68.77
