time,year,month,avgt
1991-12-01,1991,12,28.9
1992-12-01,1992,12,29.82
1993-12-01,1993,12,27.34
1994-12-01,1994,12,31.63
1995-12-01,1995,12,23.9
1996-12-01,1996,12,33.77
1997-12-01,1997,12,29.77
1998-12-01,1998,12,33.73
1999-12-01,1999,12,30.95
2000-12-01,2000,12,22.13
2001-12-01,2001,12,34.13
2002-12-01,2002,12,27.05
2003-12-01,2003,12,29.24
2004-12-01,2004,12,27.77
2005-12-01,2005,12,26.73
2006-12-01,2006,12,35.23
2007-12-01,2007,12,27.79
2008-12-01,2008,12,28.44
2009-12-01,2009,12,27.35
2010-12-01,2010,12,25.92
2011-12-01,2011,12,33.97
2012-12-01,2012,12,33.34
2013-12-01,2013,12,27.63
2014-12-01,2014,12,32.53
2015-12-01,2015,12,41.81
2016-12-01,2016,12,30.34
2017-12-01,2017,12,24.82
2018-12-01,2018,12,32.37
2019-12-01,2019,12,29.79
2020-12-01,2020,12,29.89
