time,year,month,avgt
1991-01-01,1991,1,23.13
1992-01-01,1992,1,24.45
1993-01-01,1993,1,26.61
1994-01-01,1994,1,12.68
1995-01-01,1995,1,31.29
1996-01-01,1996,1,20.6
1997-01-01,1997,1,22.63
1998-01-01,1998,1,28.9
1999-01-01,1999,1,21.74
2000-01-01,2000,1,20.68
2001-01-01,2001,1,24.55
2002-01-01,2002,1,31.32
2003-01-01,2003,1,15.55
2004-01-01,2004,1,14.61
2005-01-01,2005,1,19.55
2006-01-01,2006,1,31.55
2007-01-01,2007,1,27.44
2008-01-01,2008,1,27.56
2009-01-01,2009,1,18.29
2010-01-01,2010,1,24.44
2011-01-01,2011,1,20.6
2012-01-01,2012,1,28.61
2013-01-01,2013,1,25.47
2014-01-01,2014,1,19.74
2015-01-01,2015,1,19.68
2016-01-01,2016,1,27.74
2017-01-01,2017,1,30.56
2018-01-01,2018,1,23.26
2019-01-01,2019,1,23.32
2020-01-01,2020,1,31.79
