time,year,month,avgt
1991-07-01,1991,7,71.63
1992-07-01,1992,7,67.58
1993-07-01,1993,7,73.11
1994-07-01,1994,7,74.0
1995-07-01,1995,7,74.0
1996-07-01,1996,7,69.71
1997-07-01,1997,7,70.6
1998-07-01,1998,7,70.87
1999-07-01,1999,7,74.15
2000-07-01,2000,7,67.56
2001-07-01,2001,7,68.85
2002-07-01,2002,7,73.39
2003-07-01,2003,7,72.18
2004-07-01,2004,7,70.94
2005-07-01,2005,7,73.81
2006-07-01,2006,7,74.92
2007-07-01,2007,7,70.55
2008-07-01,2008,7,73.52
2009-07-01,2009,7,68.26
2010-07-01,2010,7,74.9
2011-07-01,2011,7,74.9
2012-07-01,2012,7,74.79
2013-07-01,2013,7,75.94
2014-07-01,2014,7,72.37
2015-07-01,2015,7,73.02
2016-07-01,2016,7,73.98
2017-07-01,2017,7,71.74
2018-07-01,2018,7,76.53
2019-07-01,2019,7,76.18
2020-07-01,2020,7,75.92
