time,year,month,avgt
1991-06-01,1991,6,68.97
1992-06-01,1992,6,65.23
1993-06-01,1993,6,66.28
1994-06-01,1994,6,68.93
1995-06-01,1995,6,66.87
1996-06-01,1996,6,68.53
1997-06-01,1997,6,67.87
1998-06-01,1998,6,66.23
1999-06-01,1999,6,69.68
2000-06-01,2000,6,65.85
2001-06-01,2001,6,68.33
2002-06-01,2002,6,66.78
2003-06-01,2003,6,66.27
2004-06-01,2004,6,66.03
2005-06-01,2005,6,72.83
2006-06-01,2006,6,67.6
2007-06-01,2007,6,68.78
2008-06-01,2008,6,70.4
2009-06-01,2009,6,66.02
2010-06-01,2010,6,67.62
2011-06-01,2011,6,68.09
2012-06-01,2012,6,67.53
2013-06-01,2013,6,67.63
2014-06-01,2014,6,69.3
2015-06-01,2015,6,66.8
2016-06-01,2016,6,68.2
2017-06-01,2017,6,67.95
2018-06-01,2018,6,67.9
2019-06-01,2019,6,68.0
2020-06-01,2020,6,70.83
