time,year,month,avgt
1991-11-01,1991,11,40.05
1992-11-01,1992,11,38.9
1993-11-01,1993,11,38.43
1994-11-01,1994,11,43.25
1995-11-01,1995,11,35.68
1996-11-01,1996,11,34.6
1997-11-01,1997,11,35.72
1998-11-01,1998,11,39.9
1999-11-01,1999,11,44.03
2000-11-01,2000,11,38.0
2001-11-01,2001,11,44.72
2002-11-01,2002,11,38.58
2003-11-01,2003,11,42.33
2004-11-01,2004,11,39.45
2005-11-01,2005,11,42.37
2006-11-01,2006,11,44.6
2007-11-01,2007,11,37.57
2008-11-01,2008,11,39.5
2009-11-01,2009,11,43.35
2010-11-01,2010,11,39.6
2011-11-01,2011,11,44.37
2012-11-01,2012,11,38.1
2013-11-01,2013,11,37.2
2014-11-01,2014,11,38.28
2015-11-01,2015,11,45.53
2016-11-01,2016,11,41.4
2017-11-01,2017,11,39.17
2018-11-01,2018,11,36.97
2019-11-01,2019,11,36.72
2020-11-01,2020,11,41.03
