time,year,month,avgt
1991-10-01,1991,10,53.19
1992-10-01,1992,10,46.44
1993-10-01,1993,10,48.6
1994-10-01,1994,10,50.03
1995-10-01,1995,10,53.32
1996-10-01,1996,10,49.06
1997-10-01,1997,10,47.98
1998-10-01,1998,10,50.69
1999-10-01,1999,10,48.81
2000-10-01,2000,10,50.02
2001-10-01,2001,10,51.9
2002-10-01,2002,10,47.85
2003-10-01,2003,10,48.23
2004-10-01,2004,10,49.85
2005-10-01,2005,10,52.0
2006-10-01,2006,10,48.77
2007-10-01,2007,10,56.77
2008-10-01,2008,10,48.11
2009-10-01,2009,10,47.95
2010-10-01,2010,10,50.29
2011-10-01,2011,10,52.85
2012-10-01,2012,10,53.26
2013-10-01,2013,10,52.6
2014-10-01,2014,10,54.02
2015-10-01,2015,10,49.77
2016-10-01,2016,10,52.4
2017-10-01,2017,10,57.79
2018-10-01,2018,10,50.74
2019-10-01,2019,10,53.58
2020-10-01,2020,10,48.9
